Product_Code,Cust_ID,IPC (Internal Product Code)
DELFINGEN-F.L * Wire Dia * Outer Dia-475*0.8*5.5-0.80mm,C_019,F.L * Wire Dia * Outer Dia-475*0.8*5.5-0.80mm
MEDIHUB-CDS SPRING-CDS SPRING 904-0.60mm,C_020,CDS SPRING-CDS SPRING 904-0.60mm
MANDO-SPRING ASS'Y-GL95156200-1.50mm,C_014,SPRING ASS'Y-GL95156200-1.50mm
SUPRAJIT-Spring-COM-SPR-00465-1.20mm,C_022,Spring-COM-SPR-00465-1.20mm
CARRLANE-CLM-407-BUD-Type-1-0.90mm,C_021,CLM-407-BUD-Type-1-0.90mm
CARRLANE-CLM-408-BUD-Type-2-0.90mm,C_021,CLM-408-BUD-Type-2-0.90mm
Royal Referigeration-COMPRESSION SPRING-2.60mm* 104 mm-2.60mm,C_025,COMPRESSION SPRING-2.60mm* 104 mm-2.60mm
Royal Referigeration-COMPRESSION SPRING-2.60mm* 112 mm-2.60mm,C_025,COMPRESSION SPRING-2.60mm* 112 mm-2.60mm
KBI-SPRING ASS'Y(TILT SPRING)-GL951X4010-1.20mm,C_001,SPRING ASS'Y(TILT SPRING)-GL951X4010-1.20mm
ATIRUM-PEDI CLIP PIN-SSF-056-2.00mm,C_006,PEDI CLIP PIN-SSF-056-2.00mm
ATIRUM-PEDI CLIP SPRING-SSF-055-0.70mm,C_006,PEDI CLIP SPRING-SSF-055-0.70mm
Royal Referigeration-Washing Rod-5mm*625mm-5.00mm,C_025,Washing Rod-5mm*625mm-5.00mm
Royal Referigeration-Washing Rod-5mm*595mm-5.00mm,C_025,Washing Rod-5mm*595mm-5.00mm
Royal Referigeration-Washing Rod-5mm*605mm-5.00mm,C_025,Washing Rod-5mm*605mm-5.00mm
Royal Referigeration-Washing Rod-5mm*585mm-5.00mm,C_025,Washing Rod-5mm*585mm-5.00mm
Royal Referigeration-Washing Rod-5mm*560mm-5.00mm,C_025,Washing Rod-5mm*560mm-5.00mm
Royal Referigeration-Washing Rod-5mm*650mm-5.00mm,C_025,Washing Rod-5mm*650mm-5.00mm
Summits Hygronics-COMPRESSION SPRING-3.5 mm * 36 mm-3.50mm,C_026,COMPRESSION SPRING-3.5 mm * 36 mm-3.50mm
Summits Hygronics-COMPRESSION SPRING-5mm * 49 mm-5.00mm,C_026,COMPRESSION SPRING-5mm * 49 mm-5.00mm
Summits Hygronics-COMPRESSION SPRING-8 mm * 75 mm-8.00mm,C_026,COMPRESSION SPRING-8 mm * 75 mm-8.00mm
WOORY-KY-TEMP-RHD(0.50mm)(Old)-(17± 0.2 mm)-201502655510-0.50mm,C_002,KY-TEMP-RHD(0.50mm)(Old)-(17± 0.2 mm)-201502655510-0.50mm
KBI-CONICAL SPRING-GZ441W6100A-2.50mm,C_001,CONICAL SPRING-GZ441W6100A-2.50mm
KBI-SPRING-GE940-160-00A3-2.20mm,C_001,SPRING-GE940-160-00A3-2.20mm
NHK SPRING-CLIP LOCK-F541C014-1.40mm,C_027,CLIP LOCK-F541C014-1.40mm
SUPRAJIT-Split Pin-COM-PIN-00149-0.90mm,C_022,Split Pin-COM-PIN-00149-0.90mm
K.R.TRANS ENERGY-PRV SPRING-KRTE-LMV-P-A024-3.00mm,C_028,PRV SPRING-KRTE-LMV-P-A024-3.00mm
KUMARAN ENGG-SPRING-F3651710-2.00mm,C_029,SPRING-F3651710-2.00mm
AVASARALA-SPRING-A3057112-0.30mm,C_018,SPRING-A3057112-0.30mm
AVASARALA-SPRING-EX2003-0.50mm,C_018,SPRING-EX2003-0.50mm
AVASARALA-SPRING-EV60812-1.80mm,C_018,SPRING-EV60812-1.80mm
KUMARAN ENGG-SPRING-F3651510-1.00mm,C_029,SPRING-F3651510-1.00mm
KUMARAN ENGG-SPRING-F3651610-1.40mm,C_029,SPRING-F3651610-1.40mm
KUMARAN ENGG-SPRING-F4X00710-1.60mm,C_029,SPRING-F4X00710-1.60mm
